,NDVI_NW,MNDWI_NW,MNWS_NW,NDVI_SW,MNDWI_SW,MNWS_SW,NDVI_PW,MNDWI_PW,MNWS_PW
2017-01-06,0.6054794788360596,0.8027734756469727,61.26261901855469,0.6489083170890808,0.9474313259124756,47.462642669677734,0.770856499671936,1.0,43.19672393798828
2017-01-19,0.5,0.8357348442077637,89.5205307006836,0.5853132009506226,0.9669876098632812,55.93439865112305,0.6481404304504395,1.0,49.408546447753906
2017-02-08,0.5,0.6896551847457886,85.2925033569336,0.5,0.9071823358535767,16.63102912902832,0.594508945941925,1.0,17.28647804260254
2017-02-15,0.8996627330780029,0.7243697643280029,34.62530517578125,0.5309734344482422,0.8806584477424622,27.28464126586914,0.7644539475440979,1.0,26.925952911376953
2017-02-25,0.5,0.9011924862861633,43.868125915527344,0.5974025726318359,1.0,38.76549530029297,0.7419835925102234,1.0,37.770606994628906
2017-03-07,0.5529412031173706,0.7683397531509399,54.72394943237305,0.5976972579956055,0.9751449823379517,41.46485137939453,0.8101356029510498,1.0,40.56954574584961
2017-03-17,0.5,0.7179215550422668,58.24251937866211,0.5,0.9584513902664185,50.437801361083984,0.5934844017028809,1.0,49.62803649902344
2017-03-27,0.5,0.7475898265838623,87.75438690185547,0.5888417363166809,0.9144737124443054,66.02005004882812,0.5821256041526794,0.9754020571708679,62.967124938964844
2017-03-30,0.5,0.767123281955719,68.94537353515625,0.5261707901954651,0.9022687673568726,43.404048919677734,0.555716335773468,0.9571428298950195,40.75978469848633
2017-04-16,0.5,0.7086419463157654,203.44337463378906,0.5625447034835815,0.961399257183075,67.07514953613281,0.6692789793014526,0.9966996908187866,51.722007751464844
2017-04-19,0.5,0.7875288724899292,68.19721221923828,0.5,0.9117646813392639,14.51264762878418,0.6048780679702759,0.9305136203765869,14.292302131652832
2017-05-09,0.5,0.6536312699317932,35.99574279785156,0.5,0.7454195022583008,31.663171768188477,0.535006582736969,0.9405034184455872,20.238933563232422
2017-05-16,0.554612934589386,0.8223185539245605,50.15826416015625,0.5198237895965576,0.9869451522827148,39.69038009643555,0.49956560134887695,1.0,27.783382415771484
2017-05-19,0.5327619314193726,0.8509485125541687,41.797245025634766,0.5865632891654968,0.9419087171554565,23.65074920654297,0.4981226623058319,0.9873517751693726,19.322166442871094
2017-06-08,0.5,0.667121410369873,272.9218444824219,0.5,0.7595526576042175,43.932621002197266,0.4981818199157715,0.8149210810661316,32.772979736328125
2017-06-15,0.5,0.8699507117271423,87.28152465820312,0.503496527671814,1.0,65.04105377197266,0.4995112419128418,1.0,19.343935012817383
2017-06-25,0.5,0.7475380301475525,34.10051727294922,0.5,0.9652777910232544,19.010528564453125,0.49757009744644165,1.0,13.560256958007812
2017-06-28,0.5850091576576233,0.9232245683670044,95.52877044677734,0.5,1.0,67.51891326904297,0.4992319643497467,1.0,13.816607475280762
2017-06-30,0.5,0.8952497243881226,106.13943481445312,0.5711501240730286,1.0,71.57659149169922,0.4964234530925751,1.0,19.801908493041992
2017-07-05,0.5,0.8383371829986572,440.02569580078125,0.5337508916854858,1.0,74.2198715209961,0.5,1.0,18.823959350585938
2017-07-15,0.5,0.8087986707687378,101.55443572998047,0.5,0.959475576877594,80.99108123779297,0.4986928105354309,0.9907833933830261,25.79633903503418
2017-07-18,0.5,0.8743718862533569,349.3525695800781,0.5595238208770752,1.0,89.89186096191406,0.5,1.0,19.57343292236328
2017-07-20,0.5,0.964205801486969,328.95355224609375,0.5508637428283691,1.0,279.63958740234375,0.49754098057746887,1.0,21.427127838134766
2017-07-23,0.5704697966575623,0.6588566303253174,87.94458770751953,0.5,0.8410596251487732,23.60868263244629,0.4964912235736847,0.8666666746139526,21.826126098632812
2017-07-25,0.5,0.7687723636627197,329.1950988769531,0.5484727621078491,0.9667128920555115,63.41967010498047,0.49949342012405396,1.0,45.681697845458984
2017-07-28,0.5,0.7605633735656738,263.9853210449219,0.5517241358757019,0.9970760345458984,62.03834915161133,0.4995442032814026,1.0,17.338533401489258
2017-07-30,0.5925925970077515,0.6051282286643982,22.145498275756836,0.5,0.764598548412323,15.419268608093262,0.6114633083343506,0.852245569229126,18.694299697875977
2017-08-02,0.5,0.8840909004211426,249.8708038330078,0.5807860493659973,1.0,95.99354553222656,0.4978044033050537,1.0,20.467296600341797
2017-08-04,0.5,0.8803894519805908,284.52197265625,0.6673095226287842,1.0,70.97331237792969,0.4997043311595917,1.0,44.7343635559082
2017-08-09,0.5,0.7872340679168701,82.80172729492188,0.5603328943252563,0.9319899082183838,54.98294448852539,0.49907782673835754,0.963269054889679,29.900217056274414
2017-08-12,0.5,0.7221006751060486,83.06678771972656,0.604651153087616,0.9100528955459595,45.853843688964844,0.49978697299957275,0.9406528472900391,34.21199417114258
2017-08-22,0.5,0.7713567614555359,354.063232421875,0.5075376629829407,0.9752407073974609,84.08878326416016,0.4993622303009033,1.0,21.6174259185791
2017-08-24,0.5,0.9038461446762085,227.8496856689453,0.5922228097915649,1.0,65.86800384521484,0.5023041367530823,1.0,21.821985244750977
2017-08-29,0.5,0.6720647811889648,26.98731803894043,0.5131440758705139,0.8284473419189453,17.04488754272461,0.49919092655181885,0.8522727489471436,17.132421493530273
2017-09-03,0.5,0.7997698783874512,53.407264709472656,0.7009063363075256,1.0,17.009864807128906,0.7506741285324097,1.0,15.76164722442627
2017-09-08,0.5,0.6030680537223816,121.56698608398438,0.5,0.783847987651825,30.743083953857422,0.4998108148574829,0.8171536326408386,15.319689750671387
2017-09-11,0.5,0.5827996134757996,97.9460220336914,0.5,0.7132551670074463,40.89451217651367,0.4563106894493103,0.7745856642723083,7.490256309509277
2017-09-16,0.5,0.5179063081741333,114.2734146118164,0.5,0.6563040018081665,40.466949462890625,0.4991878867149353,0.7000871896743774,15.127237319946289
2017-10-08,0.5,0.9364485740661621,173.7452850341797,0.5574563145637512,1.0,52.30521011352539,0.6019184589385986,1.0,22.40549659729004
2017-10-18,0.7841140627861023,0.6278272867202759,29.211158752441406,0.6074672341346741,0.8193548321723938,12.249693870544434,0.7029288411140442,0.8788819909095764,11.8397855758667
2017-10-23,0.5,0.5346687436103821,84.9433822631836,0.5,0.8373101949691772,29.500598907470703,0.4973504841327667,0.8472652435302734,13.305724143981934
2017-11-02,0.5,0.5655671954154968,94.35730743408203,0.5,0.9424460530281067,29.783721923828125,0.4997742772102356,0.9187816977500916,20.300580978393555
2017-11-17,0.5,0.8300455212593079,125.06371307373047,0.5277863144874573,1.0,59.03275680541992,0.5691753029823303,1.0,31.57592010498047
2017-11-20,0.5,0.2373976707458496,54.39015579223633,0.5,0.5307309031486511,20.24289321899414,0.4998021423816681,0.5048966407775879,9.813178062438965
2017-12-17,0.5,0.6700232625007629,85.5072250366211,0.5,0.8277945518493652,28.829822540283203,0.4997960031032562,0.8827470541000366,20.965511322021484
